name,description,url
adminpagefinder,This python script looks for a large amount of possible administrative interfaces on a given site.,http://packetstormsecurity.com/files/112855/Admin-Page-Finder-Script.html
admsnmp,ADM SNMP audit scanner.,
adpeas,"winPEAS, but for Active Directory.",https://github.com/ajm4n/adpeas
aesfix,A tool to find AES key in RAM.,http://citp.princeton.edu/memory/code/
aeskeyfind,A tool to find AES key in RAM.,http://citp.princeton.edu/memory/code/
aespipe,Reads data from stdin and outputs encrypted or decrypted results to stdout.,http://loop-aes.sourceforge.net/aespipe/
aesshell,A backconnect shell for Windows and Unix written in python and uses AES in CBC mode in conjunction with HMAC-SHA256 for secure transport.,https://packetstormsecurity.com/files/132438/AESshell.7.html
afflib,An extensible open format for the storage of disk images and related forensic information.,https://github.com/sshock/AFFLIBv3
agafi,A gadget finder and a ROP-Chainer tool for x86 platforms.,https://github.com/CoreSecurity/Agafi
against,A very fast ssh attacking script which includes a multithreaded port scanning module (tcp connect) for discovering possible targets and a multithreaded brute-forcing module which attacks parallel all discovered hosts or given ip addresses from a list.,http://nullsecurity.net/tools/cracker.html
aggroargs,"Bruteforce commandline buffer overflows, linux, aggressive arguments.",https://github.com/tintinweb/aggroArgs
aiengine,A packet inspection engine with capabilities of learning without any human intervention.,https://bitbucket.org/camp0/aiengine/downloads/
aimage,A program to create aff-images.,http://www.afflib.org
aiodnsbrute,Python 3 DNS asynchronous brute force utility.,https://github.com/blark/aiodnsbrute
air,A GUI front-end to dd/dc3dd designed for easily creating forensic images.,https://sourceforge.net/projects/air-imager/
airflood,A modification of aireplay that allows for a DoS of the AP. This program fills the table of clients of the AP with random MACs doing impossible new connections. [Tool in Spanish],http://packetstormsecurity.com/files/51127/airflood.1.tar.gz.html
airgeddon,Multi-use bash script for Linux systems to audit wireless networks.,https://github.com/v1s1t0r1sh3r3/airgeddon
airopy,Get (wireless) clients and access points.,https://github.com/Josue87/Airopy
airoscript,A script to simplify the use of aircrack-ng tools.,http://midnightresearch.com/projects/wicrawl/
airpwn,A tool for generic packet injection on an 802.11 network.,http://airpwn.sourceforge.net
airspyhf,Host code for AirspyHF+ SDR.,https://airspy.com
ajpfuzzer,A command-line fuzzer for the Apache JServ Protocol (ajp13).,https://github.com/doyensec/ajpfuzzer
albatar,A SQLi exploitation framework in Python.,https://github.com/lanjelot/albatar
allthevhosts,A vhost discovery tool that scrapes various web applications.,http://labs.portcullis.co.uk/tools/finding-all-the-vhosts/
altdns,"Generates permutations, alterations and mutations of subdomains and then resolves them.",https://github.com/infosec-au/altdns
amass,In-depth subdomain enumeration written in Go.,https://github.com/OWASP/Amass
amber,Reflective PE packer.,https://github.com/EgeBalci/Amber
amoco,Yet another tool for analysing binaries.,https://github.com/bdcht/amoco
analyzemft,Parse the MFT file from an NTFS filesystem.,https://github.com/dkovar/analyzeMFT
analyzepesig,Analyze digital signature of PE file.,https://blog.didierstevens.com/my-software/#AnalyzePESig
androbugs,An efficient Android vulnerability scanner that helps developers or hackers find potential security vulnerabilities in Android applications.,https://github.com/AndroBugs/AndroBugs_Framework
androguard,"Reverse engineering, Malware and goodware analysis of Android applications and more.",https://github.com/androguard/androguard
androick,A python tool to help in forensics analysis on android.,https://github.com/Flo354/Androick
android-apktool,A tool for reverse engineering Android apk files.,https://github.com/iBotPeaches/Apktool/releases
android-ndk,Android C/C++ developer kit,https://developer.android.com/ndk/downloads
android-sdk,Google Android SDK,https://developer.android.com/studio/releases/sdk-tools.html
android-udev-rules,Android udev rules.,https://github.com/bbqlinux/android-udev-rules
androidpincrack,Bruteforce the Android Passcode given the hash and salt.,https://github.com/PentesterES/AndroidPINCrack
androidsniffer,"A perl script that lets you search for 3rd party passwords, dump the call log, dump contacts, dump wireless configuration, and more.",http://packetstormsecurity.com/files/97464/Andr01d-Magic-Dumper.1.html
androwarn,Yet another static code analyzer for malicious Android applications.,https://github.com/maaaaz/androwarn
angr,The next-generation binary analysis platform from UC Santa Barbaras Seclab.,https://pypi.org/project/angr/#files
angr-management,This is the GUI for angr.,https://pypi.org/project/angr-management/#files
angr-py2,The next-generation binary analysis platform from UC Santa Barbaras Seclab.,https://pypi.org/project/angr/#files
angrop,A rop gadget finder and chain builder.,https://github.com/salls/angrop
anontwi,A free software python client designed to navigate anonymously on social networks. It supports Identi.ca and Twitter.com.,http://anontwi.sourceforge.net/
anti-xss,A XSS vulnerability scanner.,https://github.com/lewangbtcc/anti-XSS
antiransom,A tool capable of detect and stop attacks of Ransomware using honeypots.,http://www.security-projects.com/?Anti_Ransom___Download
anubis-netsec,Subdomain enumeration and information gathering tool.,https://github.com/jonluca/anubis
apache-users,This perl script will enumerate the usernames on a unix system that use the apache module UserDir.,https://labs.portcullis.co.uk/downloads/
apachetomcatscanner,Apache Tomcat vulnerability scanner.,https://github.com/p0dalirius/ApacheTomcatScanner
apacket,Sniffer syn and backscatter packets.,https://github.com/Acey9/apacket
aphopper,A program that automatically hops between access points of different wireless networks.,http://aphopper.sourceforge.net/
apkid,"Android Application Identifier for Packers, Protectors, Obfuscators and Oddities.",https://github.com/rednaga/APKiD
apkleaks,"Scanning APK file for URIs, endpoints & secrets.",https://github.com/dwisiswant0/apkleaks
apkstat,Automated Information Retrieval From APKs For Initial Analysis.,https://github.com/hexabin/APKStat
apkstudio,An IDE for decompiling/editing & then recompiling of android application binaries.,http://www.vaibhavpandey.com/apkstudio/
apkurlgrep,Extract endpoints from APK files.,https://github.com/ndelphit/apkurlgrep
apnbf,A small python script designed for enumerating valid APNs (Access Point Name) on a GTP-C speaking device.,http://www.c0decafe.de/
appmon,"A runtime security testing & profiling framework for native apps on macOS, iOS & android and it is built using Frida.",https://github.com/dpnishant/appmon
apt2,Automated penetration toolkit.,https://github.com/MooseDojo/apt2
aquatone,A Tool for Domain Flyovers.,https://github.com/shelld3v/aquatone
arachni,"A feature-full, modular, high-performance Ruby framework aimed towards helping penetration testers and administrators evaluate the security of web applications.",https://www.arachni-scanner.com
aranea,A fast and clean dns spoofing tool.,https://github.com/TigerSecurity
arcane,Backdoor iOS packages and create the necessary resources for APT repositories.,https://github.com/tokyoneon/Arcane
archivebox,"The open source self-hosted web archive. Takes browser history/bookmarks/Pocket/Pinboard/etc., saves HTML, JS, PDFs, media, and more.",https://github.com/pirate/ArchiveBox
ares,Automated decoding of encrypted text without knowing the key or ciphers used.,https://github.com/bee-san/Ares
argus,Network monitoring tool with flow control.,http://qosient.com/argus/
argus-clients,Network monitoring client for Argus.,http://qosient.com/argus/
arjun,HTTP parameter discovery suite.,https://github.com/s0md3v/Arjun
armitage,A graphical cyber attack management tool for Metasploit.,http://www.fastandeasyhacking.com/
armor,A simple Bash script designed to create encrypted macOS payloads capable of evading antivirus scanners.,https://github.com/tokyoneon/Armor
armscgen,ARM Shellcode Generator (Mostly Thumb Mode).,https://github.com/alexpark07/ARMSCGen
arpalert,Monitor ARP changes in ethernet networks.,http://www.arpalert.org/
arping-th,ARP Ping from Thomas Habets (aka Debian arping).,https://github.com/ThomasHabets/arping
arpoison,The UNIX arp cache update utility,http://www.arpoison.net
arpon,"A portable handler daemon that make ARP protocol secure in order to avoid the Man In The Middle (MITM) attack through ARP Spoofing, ARP Cache Poisoning or ARP Poison Routing (APR) attacks.",http://arpon.sourceforge.net/
arpspoof-smikims,Performs an ARP spoofing attack using the Linux kernel's raw sockets.,https://github.com/smikims/arpspoof
arpstraw,Arp spoof detection tool.,https://github.com/he2ss/arpstraw
arptools,"A simple tool about ARP broadcast, ARP attack, and data transmission.",https://github.com/Lab-Zjt/ARPTools
arpwner,GUI-based python tool for arp poisoning and dns poisoning attacks.,https://github.com/ntrippar/ARPwner
artillery,"A combination of a honeypot, file-system monitoring, system hardening, and overall health of a server to create a comprehensive way to secure a system.",https://www.trustedsec.com/downloads/artillery/
artlas,Apache Real Time Logs Analyzer System.,https://github.com/mthbernardes/ARTLAS
arybo,"Manipulation, canonicalization and identification of mixed boolean-arithmetic symbolic expressions.",https://github.com/quarkslab/arybo
asleap,Actively recover LEAP/PPTP passwords.,http://www.willhackforsushi.com/Asleap.html
asn,"ASN, RPKI validity, BGP stats, IPv4v6, Prefix, URL, ASPath, Organization, IP reputation, IP geolocation, IP fingerprinting, Network recon, lookup API server, Web traceroute server.",https://github.com/nitefood/asn
asnmap,Map organization network ranges using ASN information.,https://github.com/projectdiscovery/asnmap
asp-audit,An ASP fingerprinting tool and vulnerability scanner.,http://seclists.org/basics/2006/Sep/128
aspisec,Removes the traces left by offensive security tools.,https://noraj.github.io/aspisec/
assassingo,Web pentest framework for information gathering and vulnerability scanning.,https://github.com/AmyangXYZ/AssassinGo
assetfinder,Find domains and subdomains potentially related to a given domain.,https://github.com/tomnomnom/assetfinder
assetnote-wordlists,Assetnote generated wordlists.,https://github.com/assetnote/wordlists
astra,Automated Security Testing For REST API's.,https://github.com/flipkart-incubator/astra
atear,"Wireless Hacking, WiFi Security, Vulnerability Analyzer, Pentestration.",https://github.com/NORMA-Inc/AtEar
athena-ssl-scanner,A SSL cipher scanner that checks all cipher codes. It can identify about 150 different ciphers.,http://packetstormsecurity.com/files/93062/Athena-SSL-Cipher-Scanner.html
atlas,Open source tool that can suggest sqlmap tampers to bypass WAF/IDS/IPS.,https://github.com/m4ll0k/Atlas
atscan,"Server, Site and Dork Scanner.",https://github.com/AlisamTechnology/ATSCAN-V3.1
atstaketools,"This is an archive of various @Stake tools that help perform vulnerability scanning and analysis, information gathering, password auditing, and forensics.",http://packetstormsecurity.com/files/50718/AtStakeTools.zip.html
attacksurfacemapper,Tool that aims to automate the reconnaissance process.,https://github.com/superhedgy/AttackSurfaceMapper
attk,Trend Micro Anti-Threat Toolkit.,https://spnsupport.trendmicro.com/
aurebeshjs,Translate JavaScript to Other Alphabets.,https://github.com/aemkei/aurebesh.js
auto-eap,Automated Brute-Force Login Attacks Against EAP Networks.,https://github.com/Tylous/Auto_EAP
auto-xor-decryptor,Automatic XOR decryptor tool.,https://github.com/MRGEffitas/scripts
automato,Should help with automating some of the user-focused enumeration tasks during an internal penetration test.,https://github.com/skahwah/automato
autonessus,This script communicates with the Nessus API in an attempt to help with automating scans.,https://github.com/redteamsecurity/AutoNessus
autonse,Massive NSE (Nmap Scripting Engine) AutoSploit and AutoScanner.,https://github.com/m4ll0k/AutoNSE
autopsy,The forensic browser. A GUI for the Sleuth Kit.,https://github.com/sleuthkit/autopsy
autopwn,Specify targets and run sets of tools against them.,https://github.com/nccgroup/autopwn
autorecon,A multi-threaded network reconnaissance tool which performs automated enumeration of services.,https://github.com/Tib3rius/AutoRecon
autosint,Tool to automate common osint tasks.,https://github.com/bharshbarger/AutOSINT
autosploit,Automate the exploitation of remote hosts.,https://github.com/NullArray/AutoSploit
autovpn,Easily connect to a VPN in a country of your choice.,https://github.com/adtac/autovpn
avaloniailspy,.NET Decompiler (port of ILSpy),https://github.com/icsharpcode/AvaloniaILSpy
avet,AntiVirus Evasion Tool.,https://github.com/govolution/avet
avml,A portable volatile memory acquisition tool for Linux.,https://github.com/microsoft/avml
aws-extender-cli,Script to test S3 buckets as well as Google Storage buckets and Azure Storage containers for common misconfiguration issues.,https://github.com/VirtueSecurity/aws-extender-cli
aws-iam-privesc,AWS IAM policy scanner that helps determine where privilege escalation can be achieved.,https://github.com/cyberqueenmeg/aws_iam_privesc
aws-inventory,Discover resources created in an AWS account.,https://github.com/nccgroup/aws-inventory
awsbucketdump,A tool to quickly enumerate AWS S3 buckets to look for loot.,https://github.com/jordanpotti/AWSBucketDump
azazel,A userland rootkit based off of the original LD_PRELOAD technique from Jynx rootkit.,https://github.com/chokepoint/azazel
aztarna,A footprinting tool for ROS and SROS systems.,https://github.com/aliasrobotics/aztarna
backcookie,Small backdoor using cookie.,https://github.com/mrjopino/backcookie
backdoor-apk,Shell script that simplifies the process of adding a backdoor to any Android APK file,https://github.com/dana-at-cp/backdoor-apk
backdoor-factory,Patch win32/64 binaries with shellcode.,https://github.com/secretsquirrel/the-backdoor-factory
backdoorme,A powerful utility capable of backdooring Unix machines with a slew of backdoors.,https://github.com/Kkevsterrr/backdoorme
backdoorppt,Transform your payload.exe into one fake word doc (.ppt).,https://github.com/r00txp10it/backdoorppt
backfuzz,A network protocol fuzzing toolkit.,https://github.com/localh0t/backfuzz
backhack,"Tool to perform Android app analysis by backing up and extracting apps, allowing you to analyze and modify file system contents for apps.",https://github.com/l0gan/backHack
backoori,Tool aided persistence via Windows URI schemes abuse.,https://github.com/giuliocomi/backoori
backorifice,A remote administration system which allows a user to control a computer across a tcpip connection using a simple console or GUI application.,http://www.cultdeadcow.com/tools/bo.html
bad-pdf,Steal NTLM Hashes with Bad-PDF.,https://github.com/deepzec/Bad-Pdf
badkarma,Advanced network reconnaissance toolkit.,https://github.com/r3vn/badKarma
badministration,A tool which interfaces with management or administration applications from an offensive standpoint.,https://github.com/ThunderGunExpress/BADministration
badsecrets,A library for detecting known secrets across many web frameworks.,https://github.com/blacklanternsecurity/badsecrets
bagbak,Yet another frida based App decryptor.,https://github.com/ChiChou/bagbak
balbuzard,"A package of malware analysis tools in python to extract patterns of interest from suspicious files (IP addresses, domain names, known file headers, interesting strings, etc).",https://bitbucket.org/decalage/balbuzard/
bamf-framework,A modular framework designed to be a platform to launch attacks against botnets.,https://github.com/bwall/BAMF
bandicoot,A toolbox to analyze mobile phone metadata.,https://pypi.org/project/bandicoot/#files
barf,A multiplatform open source Binary Analysis and Reverse engineering Framework.,https://github.com/programa-stic/barf-project
barmie,Java RMI enumeration and attack tool.,https://github.com/NickstaDB/BaRMIe
barq,An AWS Cloud Post Exploitation framework.,https://github.com/Voulnet/barq
base64dump,Extract and decode base64 strings from files.,https://blog.didierstevens.com/my-software/#base64dump
basedomainname,"Tool that can extract TLD (Top Level Domain), domain extensions (Second Level Domain + TLD), domain name, and hostname from fully qualified domain names.",http://www.morningstarsecurity.com/research
bashfuscator,Fully configurable and extendable Bash obfuscation framework.,https://github.com/Bashfuscator/Bashfuscator
bashscan,A port scanner built to utilize /dev/tcp for network and service discovery.,https://github.com/astryzia/BashScan
batman-adv,"Batman kernel module, (included upstream since .38)",http://www.open-mesh.net/
batman-alfred,Almighty Lightweight Fact Remote Exchange Daemon.,http://www.open-mesh.org/
bbqsql,SQL injection exploit tool.,https://github.com/neohapsis/bbqsql
bbscan,A tiny Batch web vulnerability Scanner.,https://github.com/lijiejie/bbscan
bdfproxy,Patch Binaries via MITM: BackdoorFactory + mitmProxy,https://github.com/secretsquirrel/BDFProxy
bdlogparser,"This is a utility to parse a Bit Defender log file, in order to sort them into a malware archive for easier maintenance of your malware collection.",http://magikh0e.xyz/
bed,"Collection of scripts to test for buffer overflows, format string vulnerabilities.",http://www.aldeid.com/wiki/Bed
beebug,A tool for checking exploitability.,https://github.com/invictus1306/beebug
beef,The Browser Exploitation Framework that focuses on the web browser.,http://beefproject.com/
beeswarm,Honeypot deployment made easy.,https://github.com/honeynet/beeswarm/
beholder,A wireless intrusion detection tool that looks for anomalies in a wifi environment.,http://www.beholderwireless.org/
belati,The Traditional Swiss Army Knife for OSINT.,https://github.com/aancw/Belati
beleth,A Multi-threaded Dictionary based SSH cracker.,https://github.com/chokepoint/Beleth
beroot,A post exploitation tool to check common misconfigurations to find a way to escalate our privilege.,https://github.com/AlessandroZ/BeRoot
bettercap-ui,Official Bettercap's Web UI.,https://github.com/bettercap/ui
bfac,An automated tool that checks for backup artifacts that may disclose the web-application's source code.,https://github.com/mazen160/bfac
bfbtester,Performs checks of single and multiple argument command line overflows and environment variable overflows,http://sourceforge.net/projects/bfbtester/
bfuzz,Input based fuzzer tool for browsers.,https://github.com/RootUp/BFuzz
bgp-md5crack,RFC2385 password cracker,http://www.c0decafe.de/
bgrep,Binary grep.,https://github.com/tmbinc/bgrep
billcipher,Information Gathering tool for a Website or IP address.,https://github.com/GitHackTools/BillCipher
binaryninja,A new kind of reversing platform (demo version).,https://binary.ninja/free/
binaryninja-python,Binary Ninja prototype written in Python.,https://github.com/Vector35/binaryninja-python
bindead,A static analysis tool for binaries,https://bitbucket.org/mihaila/bindead
bindiff,"A comparison tool for binary files, that assists vulnerability researchers and engineers to quickly find differences and similarities in disassembled code.",http://www.zynamics.com/bindiff.html
binex,Format String exploit building tool.,http://www.morxploit.com/morxtool
binflow,POSIX function tracing. Much better and faster than ftrace.,https://github.com/elfmaster/binflow
bing-ip2hosts,Enumerates all hostnames which Bing has indexed for a specific IP address.,http://www.morningstarsecurity.com/research/bing-ip2hosts
bing-lfi-rfi,Python script for searching Bing for sites that may have local and remote file inclusion vulnerabilities.,http://packetstormsecurity.com/files/121590/Bing-LFI-RFI-Scanner.html
bingoo,A Linux bash based Bing and Google Dorking Tool.,https://github.com/Hood3dRob1n/BinGoo
binnavi,"A binary analysis IDE that allows to inspect, navigate, edit and annotate control flow graphs and call graphs of disassembled code.",https://github.com/google/binnavi
binproxy,A proxy for arbitrary TCP connections.,https://github.com/nccgroup/BinProxy/
binwally,Binary and Directory tree comparison tool using the Fuzzy Hashing concept (ssdeep).,https://github.com/bmaia/binwally
bios_memimage,A tool to dump RAM contents to disk (aka cold boot attack).,http://citp.princeton.edu/memory/code/
birp,A tool that will assist in the security assessment of mainframe applications served over TN3270.,https://github.com/sensepost/birp
bitdump,A tool to extract database data from a blind SQL injection vulnerability.,https://github.com/nbshelton/bitdump
bittwist,"A simple yet powerful libpcap-based Ethernet packet generator. It is designed to complement tcpdump, which by itself has done a great job at capturing network traffic.",http://bittwist.sourceforge.net/
bkcrack,Crack legacy zip encryption with Biham and Kocher known plaintext attack.,https://github.com/kimci86/bkcrack
bkhive,Program for dumping the syskey bootkey from a Windows NT/2K/XP system hive.,http://sourceforge.net/projects/ophcrack
blackarch-officials,Meta package for installing official security tools from the Arch Linux repository.,https://www.blackarch.org/
blackbox-scanner,Dork scanner & bruteforcing & hash cracker with blackbox framework.,https://github.com/sepehrdaddev/blackbox
blackeye,Ultimate phishing tool with ngrok and serveo.,https://github.com/Git-Ankitraj/blackeye-im
blackhash,Creates a filter from system hashes.,http://16s.us/blackhash/
blacknurse,A low bandwidth ICMP attack that is capable of doing denial of service to well known firewalls.,https://github.com/jedisct1/blacknurse
bleah,"A BLE scanner for ""smart"" devices hacking.",https://github.com/evilsocket/bleah
bletchley,A collection of practical application cryptanalysis tools.,https://code.google.com/p/bletchley/
blind-sql-bitshifting,A blind SQL injection module that uses bitshfting to calculate characters.,https://github.com/libeclipse/blind-sql-bitshifting
blindelephant,A web application fingerprinter. Attempts to discover the version of a (known) web application by comparing static files at known locations,http://blindelephant.sourceforge.net/
blindsql,Set of bash scripts for blind SQL injection attacks.,http://www.enye-sec.org/programas.html
blindy,Simple script to automate brutforcing blind sql injection vulnerabilities.,https://github.com/missDronio/blindy
blisqy,Exploit Time-based blind-SQL injection in HTTP-Headers (MySQL/MariaDB).,https://github.com/JohnTroony/Blisqy
bloodhound,Six Degrees of Domain Admin,https://github.com/SpecterOps/BloodHound-Legacy
bloodhound-ce-python,Python data collector for Bloodhound community edition (v5),https://github.com/dirkjanm/BloodHound.py
bloodhound-cli,Command-line interface for BloodHound v5.,https://github.com/SpecterOps/bloodhound-cli
bloodhound-python,Python data collector for Bloodhound legcacy (v4),https://github.com/dirkjanm/BloodHound.py
bloodyad,An Active Directory Privilege Escalation Framework.,https://github.com/CravateRouge/bloodyAD
blue-hydra,A Bluetooth device discovery service built on top of the bluez library.,https://github.com/pwnieexpress/blue_hydra
bluebox-ng,A GPL VoIP/UC vulnerability scanner.,https://github.com/jesusprubio/bluebox-ng
bluebugger,An implementation of the bluebug technique which was discovered by Martin Herfurt.,http://packetstormsecurity.com/files/54024/bluebugger.1.tar.gz.html
bluediving,A Bluetooth penetration testing suite.,http://bluediving.sourceforge.net/
bluefog,A tool that can generate an essentially unlimited number of phantom Bluetooth devices.,
bluelog,"A Bluetooth scanner and sniffer written to do a single task, log devices that are in discoverable mode.",http://www.digifail.com/software/bluelog.shtml
bluepot,"A Bluetooth Honeypot written in Java, it runs on Linux.",https://github.com/andrewmichaelsmith/bluepot
blueprint,A perl tool to identify Bluetooth devices.,https://trifinite.org/trifinite_stuff_blueprinting.html
blueranger,A simple Bash script which uses Link Quality to locate Bluetooth device radios.,http://www.hackfromacave.com/projects/blueranger.html
bluescan,A Bluetooth Device Scanner.,http://www.darknet.org.uk/2015/01/bluescan-bluetooth-device-scanner/
bluesnarfer,A bluetooth attacking tool.,http://www.alighieri.org/project.html
bluffy,Convert shellcode into different formats.,https://github.com/ad/bluffy
bluphish,Bluetooth device and service discovery tool that can be used for security assessment and penetration testing.,https://github.com/olivo/BluPhish
bluto,"Recon, Subdomain Bruting, Zone Transfers.",https://github.com/RandomStorm/Bluto
bmap-tools,Tool for copying largely sparse files using information from a block map file.,http://git.infradead.org/users/dedekind/bmap-tools.git
bmc-tools,RDP Bitmap Cache parser.,https://github.com/ANSSI-FR/bmc-tools
bob-the-butcher,A distributed password cracker package.,http://btb.banquise.net/
bof-detector,A simple detector of BOF vulnerabilities by source-code-level check.,https://github.com/st9140927/BOF_Detector
bonesi,The DDoS Botnet Simulator.,https://github.com/Markus-Go/bonesi
boofuzz,,https://github.com/jtpereyda/boofuzz
boopsuite,A Suite of Tools written in Python for wireless auditing and security testing.,https://github.com/M1ND-B3ND3R/BoopSuite
bopscrk,"Tool to generate smart wordlists, eg. based on lyrics.",https://github.com/R3nt0n/bopscrk
botb,A container analysis and exploitation tool for pentesters and engineers.,https://github.com/brompwnie/botb
bowcaster,A framework intended to aid those developing exploits.,https://github.com/zcutlip/bowcaster
box-js,A tool for studying JavaScript malware.,https://github.com/CapacitorSet/box-js
bqm,"Download BloudHound query lists, deduplicate entries and merge them in one file.",https://github.com/Acceis/bqm
braa,A mass snmp scanner,http://s-tech.elsat.net.pl/braa/
braces,A Bluetooth Tracking Utility.,http://braces.shmoo.com/
brakeman,A static analysis security vulnerability scanner for Ruby on Rails applications.,https://brakemanscanner.org/
breads,BREaking Active Directory Security; focused on enumerating and attacking Active Directory environments through LDAP and SMB protocols.,https://github.com/oppsec/breads
bridgekeeper,Scrape employee names from search engine LinkedIn profiles. Convert employee names to a specified username format.,https://github.com/0xZDH/BridgeKeeper
brosec,An interactive reference tool to help security professionals utilize useful payloads and commands.,https://github.com/gabemarshall/Brosec
browselist,"Retrieves the browse list ; the output list contains computer names, and the roles they play in the network.",https://vidstromlabs.com/browselist/
browser-fuzzer,Browser Fuzzer 3,http://www.krakowlabs.com/dev.html
brute-force,Brute-Force attack tool for Gmail Hotmail Twitter Facebook Netflix.,https://github.com/Matrix07ksa/Brute_Force
brute12,A tool designed for auditing the cryptography container security in PKCS12 format.,http://www.security-projects.com/?Brute12
bruteforce-luks,Try to find the password of a LUKS encrypted volume.,https://github.com/glv2/bruteforce-luks
bruteforce-salted-openssl,Try to find the password of a file that was encrypted with the 'openssl' command.,https://github.com/glv2/bruteforce-salted-openssl
bruteforce-wallet,"Try to find the password of an encrypted Peercoin (or Bitcoin,Litecoin, etc...) wallet file.",https://github.com/glv2/bruteforce-wallet
brutemap,Penetration testing tool that automates testing accounts to the site's login page.,https://github.com/brutemap-dev/brutemap
brutespray,Brute-Forcing from Nmap output - Automatically attempts default creds on found services.,https://github.com/x90skysn3k/brutespray
brutessh,"A simple sshd password bruteforcer using a wordlist, it's very fast for internal networks. It's multithreads.",http://www.edge-security.com/edge-soft.php
brutex,Automatically brute force all services running on a target.,https://github.com/1N3/BruteX
brutexss,Cross-Site Scripting Bruteforcer.,https://github.com/shawarkhanethicalhacker/BruteXSS
brutus,"One of the fastest, most flexible remote password crackers you can get your hands on.",http://www.hoobie.net/brutus/
bsdiff,Tools for building and applying patches to binary files.,https://www.daemonology.net/bsdiff/
bsqlbf,Blind SQL Injection Brute Forcer.,http://code.google.com/p/bsqlbf-v2/
bsqlinjector,Blind SQL injection exploitation tool written in ruby.,https://github.com/enjoiz/BSQLinjector
bss,Bluetooth stack smasher / fuzzer.,http://www.secuobs.com/news/15022006-bss_0_8.shtml
bt_audit,Bluetooth audit,http://www.betaversion.net/btdsd/download/
btcrack,The world's first Bluetooth Pass phrase (PIN) bruteforce tool. Bruteforces the Passkey and the Link key from captured Pairing exchanges.,http://www.nruns.com/_en/security_tools_btcrack.php
btlejack,Bluetooth Low Energy Swiss-army knife.,https://github.com/virtualabs/btlejack
btproxy-mitm,Man in the Middle analysis tool for Bluetooth.,https://github.com/conorpp/btproxy
btscanner,Bluetooth device scanner.,http://www.pentest.co.uk
bulk-extractor,Bulk Email and URL extraction tool.,https://github.com/simsong/bulk_extractor
bunny,"A closed loop, high-performance, general purpose protocol-blind fuzzer for C programs.",https://code.google.com/p/bunny-the-fuzzer/
burpsuite,An integrated platform for attacking web applications (community edition) + SHELLING plugin.,https://portswigger.net/burp/releases
buster,Find emails of a person and return info associated with them.,https://github.com/sham00n/buster
buttinsky,Provide an open source framework for automated botnet monitoring.,https://github.com/buttinsky/buttinsky
bvi,"A display-oriented editor for binary files operate like ""vi"" editor.",http://bvi.sourceforge.net/
byepass,Automates password cracking tasks using optimized dictionaries and mangling rules.,https://github.com/webpwnized/byepass
bypass-firewall-dns-history,Firewall bypass script based on DNS history records.,https://github.com/vincentcox/bypass-firewalls-by-DNS-history
bytecode-viewer,A Java 8/Android APK Reverse Engineering Suite.,https://github.com/Konloch/bytecode-viewer
